,rr1_PredVol
0,0.19959886480487907
1,0.18948939271310905
2,0.20106018193791242
3,0.17598779898957775
4,0.08794479503806676
5,0.11767250069754186
6,0.15695037039362905
7,0.16338636707234097
8,0.130272875233286
9,0.14270917931886476
10,0.15280746926190286
11,0.16158057145033192
12,0.1683478279326741
13,0.1636502790152046
14,0.16263920928994396
15,0.15555164679820654
16,0.1639139665713279
17,0.14475687210714264
18,0.1418070611238009
19,0.16516931268923482
20,0.16517691718720637
21,0.24608962660159864
22,0.20401979556270644
23,0.15990788754834107
24,0.15154542478949729
25,0.15737532310375163
26,0.1260541816331654
27,0.15425427765506156
28,0.16871182159902842
29,0.15125015557567761
30,0.15143511068823431
31,0.1662857984277416
32,0.1588435854764855
33,0.13341414727402617
34,0.13617133677233925
35,0.13068762565239123
36,0.14392195968072197
37,0.1328746247758682
38,0.09787655513776741
39,0.07872848262258224
40,0.08555854431725883
41,0.09919837315398819
42,0.10905170417485992
43,0.10129479952500876
44,0.07692240244860993
45,0.09431379787505627
46,0.10991860534913811
47,0.11715250003354524
48,0.11738151090845239
49,0.12194034839033249
50,0.11416121928739283
51,0.114051276392598
52,0.11255982873080832
53,0.12445809172456077
54,0.10971024929204269
55,0.10918503652734217
56,0.12108144814469762
57,0.11016188815090344
58,0.1033226872011001
59,0.1023616785589714
60,0.10380746241569458
61,0.1290024487759905
62,0.11183418532723138
63,0.10983188273059782
64,0.11881352982720537
65,0.12020512221615949
66,0.1152199548520815
67,0.11816932684988962
68,0.12164713683542981
69,0.11042817137830535
70,0.1374563482272388
71,0.1121549826241432
72,0.10724604062175631
73,0.11081839465710774
74,0.10945920659900453
75,0.11159433812085162
76,0.12310830911627754
77,0.1278734506883916
78,0.10633979840253148
79,0.09733631611504649
80,0.12528097224652612
81,0.12275124852772087
82,0.1073495711402991
83,0.10319333341759236
84,0.11214059960905617
85,0.10594175679505889
86,0.11882165230748344
87,0.11181919155187355
88,0.0994634213596351
89,0.10150952190533427
90,0.11518122764487922
91,0.11898286502646141
92,0.11540736833753605
93,0.1117658305545113
94,0.10431136373838631
95,0.10856037590656993
96,0.11080327287545738
97,0.11426666146422743
98,0.11054017300179375
99,0.099814222244659
100,0.10625454144682243
101,0.10465366655138203
102,0.12008218212483276
103,0.11350528895219524
104,0.10968327823421516
105,0.10348129123491417
106,0.10773842482090774
107,0.11185561334805653
108,0.10547276122726817
109,0.10214961500935231
110,0.1141561413843282
111,0.11525374298046538
112,0.10278269277409761
113,0.09383907433804621
114,0.09034226242126342
115,0.10272830422700227
116,0.10263306173154929
117,0.11215762322249512
118,0.10348059720996838
119,0.10403554212259644
120,0.09653813397450518
121,0.09369579137704076
122,0.097118830086548
123,0.08956214602898763
124,0.09033594067694987
125,0.09918420424808329
126,0.09573972166187135
127,0.08525141801409646
128,0.08711280730377503
129,0.07680225431547268
130,0.1036744709348875
131,0.0917078204563475
132,0.08152772923562071
133,0.08248627530480683
134,0.09587411443188842
135,0.09384501424072612
136,0.10027870328225195
137,0.10995782254626392
138,0.10729098353883293
139,0.10102488453485957
140,0.10854769868456322
141,0.11525294800483957
142,0.1189651066737273
143,0.12755265039126037
144,0.11950596477459502
145,0.11764877657442485
146,0.1296303909203244
147,0.1409245952015688
148,0.11947615705941038
149,0.10715737166835565
150,0.11925010466582656
151,0.1281549290677207
152,0.12965674715196115
153,0.14423279307749964
154,0.13774154980091555
155,0.14321932294171172
156,0.14436918153194686
157,0.16502991987237664
158,0.13849805775611035
159,0.125199653728807
160,0.1313095656413072
161,0.12252809722936682
162,0.111350526870853
163,0.10990785726697214
164,0.12047866406453375
165,0.10458007664714687
166,0.11210713116227483
167,0.11857784733662025
168,0.1046773361123149
169,0.09421389314352654
170,0.10876975662942681
171,0.09836153185968355
172,0.09882256114584964
173,0.12344133433195179
174,0.10690821336902777
175,0.08956785927640835
176,0.08292821460698964
177,0.10323143516599483
178,0.09981617889280772
179,0.09089573643142061
180,0.0928940294467027
181,0.10022100565973169
182,0.10982121090281635
183,0.10206507411790532
184,0.08897094297995375
185,0.09339819869692775
186,0.09411852368275206
187,0.08773407901721762
188,0.08377704310615322
189,0.08879588456179924
190,0.09980619278359862
191,0.10835617269145113
192,0.10753948066157788
193,0.10874544729534376
194,0.09498034925543931
195,0.0928329176974237
196,0.11213116348127841
197,0.12952763117947141
198,0.09702179005644727
199,0.08259141465596118
200,0.08251942553507655
201,0.08196895671815493
202,0.0819242015439245
203,0.08051665522128335
204,0.07563547487050744
205,0.07363126713709807
206,0.07182488755523353
207,0.07106941380041483
208,0.07761955775798741
209,0.0741007021421407
210,0.07352590579266839
211,0.0932186654281618
212,0.09560765984785259
213,0.08801239307585279
214,0.08977246847214758
215,0.08390814577611491
216,0.07611494227418573
217,0.07816891960214155
218,0.09862687577785087
219,0.09212812733831748
220,0.08873703897929615
221,0.09194343062393971
222,0.09776973585571028
223,0.0866353481828241
224,0.088882652300273
225,0.0860891121487458
226,0.09158050572568048
227,0.10494808467633375
228,0.10220786911696063
229,0.09500958150998827
230,0.09450139132650975
231,0.09623043017648936
232,0.1012697721925941
233,0.10002825529807498
234,0.0884978981932489
235,0.08656017286426075
236,0.09451361771510583
237,0.09038050616493466
238,0.09066367781086915
239,0.09166644196075131
240,0.09975626102270803
241,0.09185314784357784
242,0.09751309784537972
243,0.09013755873422348
244,0.08659322660530648
245,0.09165145415456988
246,0.0921969766076933
247,0.09004189133754614
248,0.09209668120950022
249,0.08927931815777075
250,0.07966019211079516
251,0.08109277590688889
252,0.08223424963576886
253,0.07494308636533481
254,0.07435043052289081
255,0.07612241386140418
256,0.08375784854137028
257,0.08060003429074915
258,0.08716160438766728
259,0.07609426108986146
260,0.06864223805167131
261,0.0701279153695405
262,0.07266228996799441
263,0.07361207713603012
264,0.06729381318070705
265,0.0830045425435621
266,0.08472516229904638
267,0.08754805548825327
268,0.084678576523093
269,0.0733708563069695
270,0.07232447906313029
271,0.07474836967450535
272,0.07890933189671911
273,0.08080085118213307
274,0.07423072820727976
275,0.08038326246552721
276,0.07417201617059531
277,0.06495564693754649
278,0.06241455467947384
279,0.06349400731692971
280,0.06791664920832413
281,0.0701485683365814
282,0.06757792348973789
283,0.07054112475582516
284,0.07155303351383083
285,0.07389536629424484
286,0.06788861746682866
287,0.07353818168890154
288,0.06353199822936205
289,0.05487432430446083
290,0.053960327215132636
291,0.06219658398546699
292,0.058428937851295916
293,0.05950756304283943
294,0.06310555282505743
295,0.06311450194607081
296,0.06219464320667801
297,0.06271955058938022
298,0.06899005873562215
299,0.059928247193282234
300,0.08056554317302696
301,0.07816795230840963
302,0.07169310487784836
303,0.06851812138350748
304,0.08166441802416993
305,0.06484680531616023
306,0.07997159675205016
307,0.07988461401125828
308,0.08047572906362065
309,0.0740242025381829
310,0.07572192895516713
311,0.0747646298770004
312,0.07652727630591401
313,0.06970350466500276
314,0.07008645466610906
315,0.07440160324495779
316,0.07256584756247102
